indiv_num,hplus,rgi,datdeb_m,datdeb,salred_lowess,sexe,age,ancentr,dep,dimanc,horaic,maisoc,pnai28,samedc,zus,nivet,empnbh,paiperc,paimerc,datdeb_q,naf10,etranger,urban,in_tepa,married
108355,,4,2008m3,24mar2008,2249.853,0,55,56,78,2,3,1,10,2,0,32,40,1,1,2008q1,MN,1,1,1,1
108360,,1,2007m3,26mar2007,1944.9121,1,52,108,78,3,1,3,10,3,0,41,80,1,1,2007q1,RU,1,1,1,1
108360,,4,2008m6,23jun2008,2048.8772,1,54,120,78,3,1,3,10,3,0,41,55,1,1,2008q2,GI,1,1,1,1
108435,60,1,2007m7,09jul2007,3052.8359,0,35,108,92,2,3,1,10,2,0,21,50,1,1,2007q3,MN,1,1,1,1
108435,55,2,2007m10,08oct2007,3078.5789,0,35,108,92,2,3,1,10,2,0,21,50,1,1,2007q4,MN,1,1,1,1
108435,55,3,2008m1,07jan2008,3101.7039,0,35,120,92,2,3,1,10,2,0,21,50,1,1,2008q1,MN,1,1,1,1
108435,55,4,2008m4,07apr2008,3085.7019,0,35,120,92,2,3,1,10,2,0,21,55,1,1,2008q2,MN,1,1,1,1
108435,,6,2008m10,06oct2008,2962.5925,0,36,120,92,2,3,1,10,2,0,21,50,1,1,2008q4,MN,1,1,1,1
108436,47,1,2007m7,09jul2007,3088.4597,1,35,84,92,2,1,2,60,2,0,22,40,10,10,2007q3,MN,2,1,1,0
108436,47,2,2007m10,08oct2007,3149.7275,1,35,84,92,2,1,2,60,2,0,22,40,10,10,2007q4,MN,2,1,1,0
108436,,3,2008m1,07jan2008,3203.1685,1,35,96,92,2,1,2,60,2,0,22,40,10,10,2008q1,JZ,2,1,1,0
108436,,4,2008m4,07apr2008,3242.1975,1,36,96,92,2,1,2,60,2,0,22,40,10,10,2008q2,JZ,2,1,1,0
108436,,5,2008m7,07jul2008,3270.3323,1,36,96,92,2,1,2,60,2,0,22,40,10,10,2008q3,JZ,2,1,1,0
108436,,6,2008m10,06oct2008,3279.9736,1,36,96,92,2,1,2,60,2,0,22,40,10,10,2008q4,JZ,2,1,1,0
108440,,2,2007m10,08oct2007,,1,24,6,92,3,1,3,10,3,0,21,45,1,1,2007q4,BE,1,1,1,0
108440,37,3,2008m1,07jan2008,,1,24,9,92,3,1,3,10,3,0,21,40,1,1,2008q1,BE,1,1,1,0
108440,35,4,2008m4,07apr2008,,1,25,12,92,3,1,3,10,3,0,21,40,1,1,2008q2,BE,1,1,1,0
108440,35,5,2008m7,07jul2008,2579.9229,1,25,15,92,3,1,3,10,3,0,21,40,1,1,2008q3,BE,1,1,1,0
108440,35,6,2008m10,06oct2008,2585.4675,1,25,18,92,3,1,3,10,3,0,21,40,1,1,2008q4,BE,1,1,1,0
108441,,1,2007m7,09jul2007,1729.5806,0,23,10,92,3,1,2,10,3,0,21,45,1,1,2007q3,KZ,1,1,1,0
108441,,2,2007m10,08oct2007,,0,24,13,92,3,1,2,10,3,0,21,45,1,1,2007q4,KZ,1,1,1,0
108441,,3,2008m1,07jan2008,1806.2803,0,24,16,92,3,1,3,10,3,0,21,40,1,1,2008q1,KZ,1,1,1,0
108441,,4,2008m4,07apr2008,1770.3611,0,24,19,92,3,1,3,10,3,0,21,40,1,1,2008q2,KZ,1,1,1,0
108441,,5,2008m7,07jul2008,,0,24,22,92,3,1,3,10,3,0,21,40,1,1,2008q3,KZ,1,1,1,0
108441,,6,2008m10,06oct2008,2151.7629,0,25,25,92,3,1,3,10,3,0,21,40,1,1,2008q4,KZ,1,1,1,0
108454,55,1,2007m7,09jul2007,2516.427,1,43,120,92,3,1,2,10,3,0,32,50,1,1,2007q3,FZ,1,1,1,1
108454,,2,2007m10,08oct2007,2490.2471,1,44,120,92,3,1,2,10,3,0,32,50,1,1,2007q4,FZ,1,1,1,1
108454,,3,2008m1,07jan2008,,1,44,132,92,3,1,2,10,3,0,32,50,1,1,2008q1,FZ,1,1,1,1
108454,,4,2008m4,07apr2008,2390.114,1,44,132,92,3,1,2,10,3,0,32,50,1,1,2008q2,FZ,1,1,1,1
108455,,1,2007m7,09jul2007,3052.8359,0,41,84,92,3,1,3,10,3,0,21,40,1,1,2007q3,KZ,1,1,1,1
108455,,2,2007m10,08oct2007,3078.5789,0,41,84,92,3,1,3,10,3,0,21,40,1,1,2007q4,KZ,1,1,1,1
108455,,3,2008m1,07jan2008,3101.7039,0,42,96,92,3,1,3,10,3,0,21,40,1,1,2008q1,KZ,1,1,1,1
108455,,4,2008m4,07apr2008,3085.7019,0,42,96,92,3,1,3,10,3,0,21,40,1,1,2008q2,KZ,1,1,1,1
108457,65,1,2007m7,09jul2007,2679.3589,1,33,65,92,2,1,2,10,2,0,22,55,1,1,2007q3,BE,1,1,1,0
108457,60,2,2007m10,08oct2007,2950.636,1,33,68,92,2,1,2,10,2,0,22,55,1,1,2007q4,BE,1,1,1,1
108457,60,3,2008m1,07jan2008,2954.0393,1,34,71,92,2,1,2,10,2,0,22,55,1,1,2008q1,BE,1,1,1,1
108457,60,4,2008m4,07apr2008,2952.8923,1,34,74,92,2,1,2,10,2,0,22,55,1,1,2008q2,BE,1,1,1,1
108457,60,5,2008m7,07jul2008,,1,34,77,92,2,1,2,10,2,0,22,55,1,1,2008q3,BE,1,1,1,1
108457,60,6,2008m10,06oct2008,2884.4365,1,34,80,92,2,1,2,10,2,0,22,55,1,1,2008q4,BE,1,1,1,1
108458,60,1,2007m7,09jul2007,2145.9209,0,33,120,92,2,1,2,51,2,0,22,54,10,10,2007q3,GI,3,1,1,0
108458,60,2,2007m10,08oct2007,2383.8386,0,33,120,92,2,1,2,51,2,0,22,54,10,10,2007q4,GI,3,1,1,1
108458,60,3,2008m1,07jan2008,2366.7813,0,33,132,92,2,1,2,51,2,0,22,54,10,10,2008q1,BE,3,1,1,1
108458,60,4,2008m4,07apr2008,2346.6084,0,34,132,92,2,1,2,51,2,0,22,54,10,10,2008q2,BE,3,1,1,1
108458,55,5,2008m7,07jul2008,2314.7256,0,34,132,92,2,1,2,51,2,0,22,54,10,10,2008q3,BE,3,1,1,1
